klasa,dzien,kolor,lekcja1,lekcja2,lekcja3,lekcja4,lekcja5,lekcja6,lekcja7,lekcja8

3F,0,0,Matematyka (praca własna),Matematyka,Religia,Fizyka,Jezyki (praca wlasna),Polski,Polski (praca wlasna),
3F,0,1,Matematyka (praca własna),Matematyka,Religia,Fizyka,Jezyki (praca wlasna),Polski,Polski (praca wlasna),
3F,1,0,Fizyka,Polski,WF,Fiz/Ang (Fiz praca wlasna),Fiz/Ang (Fiz praca wlasna),Matematyka,,
3F,1,1,Fizyka,Polski,,Fiz/Ang (Fiz praca wlasna),Fiz/Ang (Fiz praca wlasna),Matematyka,,
3F,2,0,Chemia (praca wlasna),Chemia,Chemia,Chemia (praca wlasna),Fiz/Ang (Ang praca wlasna),Historia,Fiz/Ang (Ang praca wlasna),
3F,2,1,Chemia (praca wlasna),Chemia,Chemia,Chemia (praca wlasna),Fiz/Ang (Ang praca wlasna),Historia,Fiz/Ang (Ang praca wlasna),
3F,3,0,Matematyka,Matematyka,Religia (praca wlasna),Chemia,Jezyki,,WF (praca wlasna),
3F,3,1,,Matematyka,Religia (praca wlasna),Chemia,Jezyki,G. Wychowawcza,WF (praca wlasna),
3F,4,0,Polski,Polski,WF,Historia (praca wlasna),,Chemia,,
3F,4,1,,Polski,WF,Historia (praca wlasna),Ang,Chemia,,
